"","Rank","Title","Link","NA"
"1","1"," Breaking Bad","https://imdb.com/title/tt0903747/?ref_=chttvtp_t_1tt0903747","https://imdb.com/title/tt0903747/?ref_=chttvtp_t_1tt0903747"
"2","2"," Planet Earth II","https://imdb.com/title/tt5491994/?ref_=chttvtp_t_2tt0903747","https://imdb.com/title/tt5491994/?ref_=chttvtp_t_2tt0903747"
"3","3"," Planet Earth","https://imdb.com/title/tt0795176/?ref_=chttvtp_t_3tt0903747","https://imdb.com/title/tt0795176/?ref_=chttvtp_t_3tt0903747"
"4","4"," Band of Brothers","https://imdb.com/title/tt0185906/?ref_=chttvtp_t_4tt0903747","https://imdb.com/title/tt0185906/?ref_=chttvtp_t_4tt0903747"
"5","5"," Chernobyl","https://imdb.com/title/tt7366338/?ref_=chttvtp_t_5tt0903747","https://imdb.com/title/tt7366338/?ref_=chttvtp_t_5tt0903747"
"6","6"," The Wire","https://imdb.com/title/tt0306414/?ref_=chttvtp_t_6tt0903747","https://imdb.com/title/tt0306414/?ref_=chttvtp_t_6tt0903747"
"7","7"," Avatar: The Last Airbender","https://imdb.com/title/tt0417299/?ref_=chttvtp_t_7tt0903747","https://imdb.com/title/tt0417299/?ref_=chttvtp_t_7tt0903747"
"8","8"," Blue Planet II","https://imdb.com/title/tt6769208/?ref_=chttvtp_t_8tt0903747","https://imdb.com/title/tt6769208/?ref_=chttvtp_t_8tt0903747"
"9","9"," The Sopranos","https://imdb.com/title/tt0141842/?ref_=chttvtp_t_9tt0903747","https://imdb.com/title/tt0141842/?ref_=chttvtp_t_9tt0903747"
"10","10"," Cosmos: A Spacetime Odyssey","https://imdb.com/title/tt2395695/?ref_=chttvtp_t_10tt0903747","https://imdb.com/title/tt2395695/?ref_=chttvtp_t_10tt0903747"
"11","11"," Cosmos","https://imdb.com/title/tt0081846/?ref_=chttvtp_t_11tt0903747","https://imdb.com/title/tt0081846/?ref_=chttvtp_t_11tt0903747"
"12","12"," Our Planet","https://imdb.com/title/tt9253866/?ref_=chttvtp_t_12tt0903747","https://imdb.com/title/tt9253866/?ref_=chttvtp_t_12tt0903747"
"13","13"," Game of Thrones","https://imdb.com/title/tt0944947/?ref_=chttvtp_t_13tt0903747","https://imdb.com/title/tt0944947/?ref_=chttvtp_t_13tt0903747"
"14","14"," The World at War","https://imdb.com/title/tt0071075/?ref_=chttvtp_t_14tt0903747","https://imdb.com/title/tt0071075/?ref_=chttvtp_t_14tt0903747"
"15","15"," Bluey","https://imdb.com/title/tt7678620/?ref_=chttvtp_t_15tt0903747","https://imdb.com/title/tt7678620/?ref_=chttvtp_t_15tt0903747"
"16","16"," Rick and Morty","https://imdb.com/title/tt2861424/?ref_=chttvtp_t_16tt0903747","https://imdb.com/title/tt2861424/?ref_=chttvtp_t_16tt0903747"
"17","17"," Fullmetal Alchemist: Brotherhood","https://imdb.com/title/tt1355642/?ref_=chttvtp_t_17tt0903747","https://imdb.com/title/tt1355642/?ref_=chttvtp_t_17tt0903747"
"18","18"," The Last Dance","https://imdb.com/title/tt8420184/?ref_=chttvtp_t_18tt0903747","https://imdb.com/title/tt8420184/?ref_=chttvtp_t_18tt0903747"
"19","19"," Life","https://imdb.com/title/tt1533395/?ref_=chttvtp_t_19tt0903747","https://imdb.com/title/tt1533395/?ref_=chttvtp_t_19tt0903747"
"20","20"," The Twilight Zone","https://imdb.com/title/tt0052520/?ref_=chttvtp_t_20tt0903747","https://imdb.com/title/tt0052520/?ref_=chttvtp_t_20tt0903747"
"21","21"," Sherlock","https://imdb.com/title/tt1475582/?ref_=chttvtp_t_21tt0903747","https://imdb.com/title/tt1475582/?ref_=chttvtp_t_21tt0903747"
"22","22"," The Vietnam War","https://imdb.com/title/tt1877514/?ref_=chttvtp_t_22tt0903747","https://imdb.com/title/tt1877514/?ref_=chttvtp_t_22tt0903747"
"23","23"," Batman: The Animated Series","https://imdb.com/title/tt0103359/?ref_=chttvtp_t_23tt0903747","https://imdb.com/title/tt0103359/?ref_=chttvtp_t_23tt0903747"
"24","24"," Attack on Titan","https://imdb.com/title/tt2560140/?ref_=chttvtp_t_24tt0903747","https://imdb.com/title/tt2560140/?ref_=chttvtp_t_24tt0903747"
"25","25"," Scam 1992: The Harshad Mehta Story","https://imdb.com/title/tt12392504/?ref_=chttvtp_t_25tt0903747","https://imdb.com/title/tt12392504/?ref_=chttvtp_t_25tt0903747"
"26","26"," The Office","https://imdb.com/title/tt0386676/?ref_=chttvtp_t_26tt0903747","https://imdb.com/title/tt0386676/?ref_=chttvtp_t_26tt0903747"
"27","27"," Arcane","https://imdb.com/title/tt11126994/?ref_=chttvtp_t_27tt0903747","https://imdb.com/title/tt11126994/?ref_=chttvtp_t_27tt0903747"
"28","28"," The Blue Planet","https://imdb.com/title/tt0296310/?ref_=chttvtp_t_28tt0903747","https://imdb.com/title/tt0296310/?ref_=chttvtp_t_28tt0903747"
"29","29"," Better Call Saul","https://imdb.com/title/tt3032476/?ref_=chttvtp_t_29tt0903747","https://imdb.com/title/tt3032476/?ref_=chttvtp_t_29tt0903747"
"30","30"," Human Planet","https://imdb.com/title/tt1806234/?ref_=chttvtp_t_30tt0903747","https://imdb.com/title/tt1806234/?ref_=chttvtp_t_30tt0903747"
"31","31"," Firefly","https://imdb.com/title/tt0303461/?ref_=chttvtp_t_31tt0903747","https://imdb.com/title/tt0303461/?ref_=chttvtp_t_31tt0903747"
"32","32"," Frozen Planet","https://imdb.com/title/tt2092588/?ref_=chttvtp_t_32tt0903747","https://imdb.com/title/tt2092588/?ref_=chttvtp_t_32tt0903747"
"33","33"," Clarkson's Farm","https://imdb.com/title/tt10541088/?ref_=chttvtp_t_33tt0903747","https://imdb.com/title/tt10541088/?ref_=chttvtp_t_33tt0903747"
"34","34"," Death Note","https://imdb.com/title/tt0877057/?ref_=chttvtp_t_34tt0903747","https://imdb.com/title/tt0877057/?ref_=chttvtp_t_34tt0903747"
"35","35"," Only Fools and Horses","https://imdb.com/title/tt0081912/?ref_=chttvtp_t_35tt0903747","https://imdb.com/title/tt0081912/?ref_=chttvtp_t_35tt0903747"
"36","36"," Hunter x Hunter","https://imdb.com/title/tt2098220/?ref_=chttvtp_t_36tt0903747","https://imdb.com/title/tt2098220/?ref_=chttvtp_t_36tt0903747"
"37","37"," The Civil War","https://imdb.com/title/tt0098769/?ref_=chttvtp_t_37tt0903747","https://imdb.com/title/tt0098769/?ref_=chttvtp_t_37tt0903747"
"38","38"," True Detective","https://imdb.com/title/tt2356777/?ref_=chttvtp_t_38tt0903747","https://imdb.com/title/tt2356777/?ref_=chttvtp_t_38tt0903747"
"39","39"," Seinfeld","https://imdb.com/title/tt0098904/?ref_=chttvtp_t_39tt0903747","https://imdb.com/title/tt0098904/?ref_=chttvtp_t_39tt0903747"
"40","40"," The Beatles: Get Back","https://imdb.com/title/tt9735318/?ref_=chttvtp_t_40tt0903747","https://imdb.com/title/tt9735318/?ref_=chttvtp_t_40tt0903747"
"41","41"," The Decalogue","https://imdb.com/title/tt0092337/?ref_=chttvtp_t_41tt0903747","https://imdb.com/title/tt0092337/?ref_=chttvtp_t_41tt0903747"
"42","42"," Persona","https://imdb.com/title/tt7920978/?ref_=chttvtp_t_42tt0903747","https://imdb.com/title/tt7920978/?ref_=chttvtp_t_42tt0903747"
"43","43"," Fargo","https://imdb.com/title/tt2802850/?ref_=chttvtp_t_43tt0903747","https://imdb.com/title/tt2802850/?ref_=chttvtp_t_43tt0903747"
"44","44"," Cowboy Bebop","https://imdb.com/title/tt0213338/?ref_=chttvtp_t_44tt0903747","https://imdb.com/title/tt0213338/?ref_=chttvtp_t_44tt0903747"
"45","45"," Gravity Falls","https://imdb.com/title/tt1865718/?ref_=chttvtp_t_45tt0903747","https://imdb.com/title/tt1865718/?ref_=chttvtp_t_45tt0903747"
"46","46"," Nathan for You","https://imdb.com/title/tt2297757/?ref_=chttvtp_t_46tt0903747","https://imdb.com/title/tt2297757/?ref_=chttvtp_t_46tt0903747"
"47","47"," Last Week Tonight with John Oliver","https://imdb.com/title/tt3530232/?ref_=chttvtp_t_47tt0903747","https://imdb.com/title/tt3530232/?ref_=chttvtp_t_47tt0903747"
"48","48"," When They See Us","https://imdb.com/title/tt7137906/?ref_=chttvtp_t_48tt0903747","https://imdb.com/title/tt7137906/?ref_=chttvtp_t_48tt0903747"
"49","49"," Succession","https://imdb.com/title/tt7660850/?ref_=chttvtp_t_49tt0903747","https://imdb.com/title/tt7660850/?ref_=chttvtp_t_49tt0903747"
"50","50"," Apocalypse: The Second World War","https://imdb.com/title/tt1508238/?ref_=chttvtp_t_50tt0903747","https://imdb.com/title/tt1508238/?ref_=chttvtp_t_50tt0903747"
"51","51"," Friends","https://imdb.com/title/tt0108778/?ref_=chttvtp_t_51tt0903747","https://imdb.com/title/tt0108778/?ref_=chttvtp_t_51tt0903747"
"52","52"," Africa","https://imdb.com/title/tt2571774/?ref_=chttvtp_t_52tt0903747","https://imdb.com/title/tt2571774/?ref_=chttvtp_t_52tt0903747"
"53","53"," Taskmaster","https://imdb.com/title/tt4934214/?ref_=chttvtp_t_53tt0903747","https://imdb.com/title/tt4934214/?ref_=chttvtp_t_53tt0903747"
"54","54"," TVF Pitchers","https://imdb.com/title/tt4742876/?ref_=chttvtp_t_54tt0903747","https://imdb.com/title/tt4742876/?ref_=chttvtp_t_54tt0903747"
"55","55"," It's Always Sunny in Philadelphia","https://imdb.com/title/tt0472954/?ref_=chttvtp_t_55tt0903747","https://imdb.com/title/tt0472954/?ref_=chttvtp_t_55tt0903747"
"56","56"," As If","https://imdb.com/title/tt13675832/?ref_=chttvtp_t_56tt0903747","https://imdb.com/title/tt13675832/?ref_=chttvtp_t_56tt0903747"
"57","57"," Monty Python's Flying Circus","https://imdb.com/title/tt0063929/?ref_=chttvtp_t_57tt0903747","https://imdb.com/title/tt0063929/?ref_=chttvtp_t_57tt0903747"
